Date;Open;High;Low;Close;Adj Close;Volume
2013-09-27;1078.37;1078.37;1070.85;1074.19;1074.19;2951700000
2013-09-26;1075.1;1081.32;1073.12;1078.41;1078.41;2813930000
2013-09-25;1075.89;1082;1072.58;1073.51;1073.51;3148730000
2013-09-24;1072.54;1081.91;1066.94;1074.68;1074.68;3268930000
2013-09-23;1072.3;1073.59;1063.9;1072.13;1072.13;3126950000
2013-09-20;1076.48;1078.2;1071.86;1072.83;1072.83;5074030000
2013-09-19;1078.88;1079.76;1072.61;1075.27;1075.27;3740130000
2013-09-18;1066.34;1080.49;1058.82;1076.97;1076.97;3989760000
2013-09-17;1055.83;1066.39;1055.8;1066.39;1066.39;2774240000
2013-09-16;1053.96;1065.25;1053.96;1056.25;1056.25;3079800000
2013-09-13;1048.47;1053.98;1047.66;1053.98;1053.98;2736500000
2013-09-12;1055.17;1055.31;1048.48;1048.48;1048.48;3106290000
2013-09-11;1054.46;1057.56;1051.47;1055.34;1055.34;3135460000
2013-09-10;1049.76;1055.76;1049.18;1055.72;1055.72;3691800000
2013-09-09;1032.31;1046.08;1032.31;1046.08;1046.08;3102780000
2013-09-06;1028.66;1034.77;1015.72;1029.55;1029.55;3123880000
2013-09-05;1026.56;1031.15;1026.11;1028.69;1028.69;2957110000
2013-09-04;1016.87;1025.61;1015.69;1025.58;1025.58;3312150000
2013-09-03;1019.48;1026.84;1009;1016.26;1016.26;3731610000
2013-08-30;1025.9;1025.9;1009.46;1010.9;1010.9;2734300000
2013-08-29;1016.43;1029.05;1015.59;1026.94;1026.94;2527550000
2013-08-28;1013.4;1020.25;1012.95;1016.5;1016.5;2784010000
2013-08-28;1013.4;1020.25;1012.95;1016.5;1016.5;2784010000
2013-08-27;1036.3;1036.3;1013.11;1013.49;1013.49;3219190000
2013-08-26;1038.23;1044.66;1036.02;1038.47;1038.47;2430670000
2013-08-23;1036.91;1038.85;1032.65;1038.24;1038.24;2582670000
2013-08-22;1024.03;1036.28;1024.03;1036.2;1036.2;2537460000
2013-08-21;1025.48;1030.57;1018.85;1021.58;1021.58;2932180000
2013-08-20;1014.55;1029.5;1014.55;1028.57;1028.57;2994090000
2013-08-19;1024;1024.61;1013.23;1013.25;1013.25;2904530000
2013-08-16;1024.14;1030.83;1023.46;1024.3;1024.3;3211450000
2013-08-15;1039.1;1039.1;1026.72;1027.61;1027.61;3426690000
2013-08-14;1051.6;1052.7;1047.72;1047.8;1047.8;2871430000
2013-08-13;1054.63;1054.76;1046.42;1051.99;1051.99;3035560000
2013-08-12;1043.59;1053.67;1042.79;1053.67;1053.67;2789160000
2013-08-09;1047.98;1051.51;1043.82;1048.4;1048.4;2957670000
2013-08-08;1049.39;1051.82;1044.38;1049.47;1049.47;3271660000
2013-08-07;1052.1;1052.1;1042.65;1044.34;1044.34;3010230000
2013-08-06;1061.07;1061.07;1050.08;1052.14;1052.14;3141210000
2013-08-05;1059.09;1063.52;1057.72;1063.01;1063.01;2529300000
2013-08-02;1058.27;1060.07;1053.7;1059.86;1059.86;3136630000
2013-08-01;1051.23;1060.96;1051.23;1059.88;1059.88;3775170000
2013-07-31;1043.5;1053.51;1043.5;1045.26;1045.26;3847390000
2013-07-30;1041.88;1045.83;1039.92;1043.51;1043.51;3320530000
2013-07-29;1047.13;1048.78;1038.93;1040.66;1040.66;2840520000
2013-07-26;1047.38;1048.51;1042.24;1048.51;1048.51;2762770000
2013-07-25;1041.84;1054.19;1040.79;1054.18;1054.18;3322500000
2013-07-24;1052.18;1055.85;1042.38;1043.83;1043.83;3336120000
2013-07-23;1055.79;1056.86;1050.87;1052.2;1052.2;3096180000
2013-07-22;1049.53;1054.68;1049.24;1053.41;1053.41;2779130000
2013-07-19;1048.04;1050.5;1046.08;1050.48;1050.48;3302580000
2013-07-18;1044.48;1052.46;1044.48;1050.27;1050.27;3452370000
2013-07-17;1041.82;1046.13;1040.56;1042.53;1042.53;3153440000
2013-07-16;1043.59;1043.59;1036.38;1038.75;1038.75;3081710000
2013-07-15;1038.2;1043.92;1036.9;1043.3;1043.3;2623200000
2013-07-12;1032.64;1038.27;1032.48;1036.52;1036.52;3039070000
2013-07-11;1028.37;1033.34;1027.84;1033.18;1033.18;3446340000
2013-07-10;1017.69;1020.99;1015.49;1020.42;1020.42;3011010000
2013-07-09;1012.58;1018.93;1010.83;1018.05;1018.05;3155360000
2013-07-08;1007.7;1011.1;1007.17;1009.25;1009.25;3514590000
2013-07-05;1000.58;1005.39;991.68;1005.39;1005.39;2634140000
2013-07-03;985.94;993.14;984.71;991.13;991.13;1966050000
2013-07-02;989.22;995.55;982.97;989.47;989.47;3317130000
2013-07-01;981.30;993.60;981.30;989.84;989.84;3104690000
2013-06-28;977.74;982.44;974.72;977.48;977.48;4977190000
2013-06-27;968.95;980.59;968.95;979.92;979.92;3364540000
2013-06-26;961.36;968.68;961.36;963.83;963.83;3558340000
2013-06-25;956.95;962.10;954.04;961.26;961.26;3761170000
2013-06-24;956.93;958.38;942.79;951.05;951.05;4733660000
2013-06-21;962.75;965.23;951.45;963.68;963.68;5797280000
2013-06-20;977.81;977.81;957.51;960.52;960.52;4858850000
2013-06-19;999.56;999.77;986.47;986.50;986.50;3545060000
2013-06-18;988.92;1001.49;988.92;999.99;999.99;3120980000
2013-06-17;987.40;991.62;982.86;987.84;987.84;3137080000
2013-06-14;989.20;990.35;979.82;981.38;981.38;2939400000
2013-06-13;971.75;990.87;969.79;989.69;989.69;3378620000
2013-06-12;986.05;987.96;971.41;972.31;972.31;3202550000
2013-06-11;985.21;988.85;976.37;981.45;981.45;3435710000
2013-06-10;989.63;992.69;984.71;992.67;992.67;2978730000
2013-06-07;984.09;989.05;979.89;987.62;987.62;3371990000
2013-06-06;968.21;979.46;963.88;979.46;979.46;3547380000
2013-06-05;980.15;981.42;967.67;968.16;968.16;3632350000
2013-06-04;990.58;994.56;975.43;981.97;981.97;3653840000
2013-06-03;986.25;991.82;976.05;990.53;990.53;3952070000
2013-05-31;989.71;994.53;983.79;984.15;984.15;4099600000
2013-05-30;988.65;995.72;988.65;994.43;994.43;3498620000
2013-05-29;997.27;997.27;980.52;986.96;986.96;3587140000
2013-05-28;984.25;1005.42;984.25;997.35;997.35;3457400000
2013-05-24;980.40;984.34;973.88;984.28;984.28;2758080000
2013-05-23;975.30;984.29;970.63;984.28;984.28;3945510000
2013-05-22;999.07;1008.23;977.41;982.26;982.26;4361020000
2013-05-21;997.82;1000.59;995.20;998.78;998.78;3513560000
2013-05-21;997.82;1000.59;995.20;998.78;998.78;3513560000
2013-05-20;994.30;1001.5;994.30;997.98;997.98;3275080000
2013-05-17;986.93;996.47;986.93;996.28;996.28;3440710000
2013-05-16;986.98;990.44;983.08;985.34;985.34;3513130000
2013-05-15;983.53;991.55;983.07;988.54;988.54;3657440000
2013-05-14;974.04;985.96;974.04;985.96;985.96;3457790000
2013-05-13;974.21;976.22;971.24;973.79;973.79;2910600000
2013-05-10;967.70;975.16;967.70;975.16;975.16;3086470000
2013-05-09;969.76;970.46;964.84;966.26;966.26;3457400000
2013-05-08;965.90;970.41;963.79;970.41;970.41;3554700000
2013-05-07;961.18;967.82;958.85;967.82;967.82;3309580000
2013-05-06;954.93;960.22;954.87;959.80;959.80;3062240000
2013-05-03;946.94;959.55;946.94;954.42;954.42;3603910000
2013-05-02;927.95;940.72;927.95;939.85;939.85;3366950000
2013-05-01;945.53;945.53;924.21;924.21;924.21;3530320000
2013-04-30;942.21;947.46;939.30;947.46;947.46;3745070000
2013-04-29;938.22;943.52;937.71;942.43;942.43;2891200000
2013-04-26;939.38;939.65;932.20;935.25;935.25;3198620000
2013-04-25;936.66;944.67;936.66;940.28;940.28;3908580000
2013-04-24;929.02;934.23;927.15;934.11;934.11;3598240000
2013-04-23;919.83;929.36;919.83;929.36;929.36;3565150000
2013-04-22;914.27;916.32;899.92;914.80;914.80;2979880000
2013-04-19;901.82;912.88;899.46;912.50;912.50;3569870000
2013-04-18;908.99;909.82;898.40;901.51;901.51;3890800000
2013-04-17;917.92;917.92;899.79;906.80;906.80;4250310000
2013-04-16;913.05;924.02;912.63;923.30;923.30;3654700000
2013-04-15;938.67;938.67;904.91;907.18;907.18;4660130000
2013-04-12;943.54;945.18;937.01;942.85;942.85;3206290000
2013-04-11;945.17;951.39;944.81;947.05;947.05;3393950000
2013-04-10;931.31;946.99;931.31;946.09;946.09;3453350000
2013-04-09;932.63;934.27;928.28;929.34;929.34;3252780000
2013-04-08;925.93;931.54;921.07;931.49;931.49;2887120000
2013-04-05;915.92;923.56;909.90;923.28;923.28;3515410000
2013-04-04;919.53;925.74;917.24;925.66;925.66;3350670000
2013-04-03;935.39;935.84;916.84;918.71;918.71;4060610000
2013-04-02;942.68;944.95;932.51;934.30;934.30;3312160000
